frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00255,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,6,False,False,,,
00270,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,6,False,False,,,
00285,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,6,False,False,,,
00300,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,7,False,False,,,
00315,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,7,False,False,,,
00330,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,7,False,False,,,
00345,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,7,False,False,,,
00360,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,7,False,False,,,
00375,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,8,False,False,,,
00390,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,8,False,False,,,
00405,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,8,False,False,,,
00420,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,8,False,False,,,
00435,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,8,False,False,,,
00450,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,8,False,False,,,
00465,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,9,False,False,,,
00480,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,9,False,False,,,
00495,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,9,False,False,,,
00510,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,9,False,False,,,
00525,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,9,False,False,,,
00540,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,10,False,False,,,
00555,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,10,False,False,,,
00570,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,10,False,False,,,
00585,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,10,False,False,,,
00600,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,10,False,False,,,
00615,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,10,False,False,,,
00630,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,10,False,False,,,
00645,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,10,False,False,,,
00660,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,10,False,False,,,
00675,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,10,False,False,,,
00690,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,10,False,False,,,
00705,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,10,False,False,,,
00720,Cannon Cart,16.0,Barbarian Barrel,6.0,Mortar,71.0,Fireball,30.0,,,,10,False,False,,,
00735,Cannon Cart,16.0,Graveyard,48.0,Mortar,71.0,Fireball,30.0,Barbarian Barrel,6.0,2.0,8,True,True,,Barbarian Barrel,2.0
00750,Cannon Cart,16.0,Graveyard,48.0,Mortar,71.0,Fireball,30.0,,,,8,False,False,,,
00765,Cannon Cart,16.0,Graveyard,48.0,Mortar,71.0,Fireball,30.0,,,,8,False,False,,,
00780,Cannon Cart,16.0,Graveyard,48.0,Mortar,71.0,Fireball,30.0,,,,8,False,False,,,
00795,Cannon Cart,16.0,Graveyard,48.0,Mortar,71.0,Fireball,30.0,,,,8,False,False,,,
00810,Cannon Cart,16.0,Graveyard,48.0,Mortar,71.0,Fireball,30.0,,,,9,False,False,,,
00825,Cannon Cart,16.0,Graveyard,48.0,Mortar,71.0,Fireball,30.0,,,,9,False,False,,,
00840,Cannon Cart,16.0,Graveyard,48.0,Mortar,71.0,Fireball,30.0,,,,9,False,False,,,
00855,Cannon Cart,16.0,Graveyard,48.0,Mortar,71.0,Fireball,30.0,,,,9,False,False,,,
00870,Cannon Cart,16.0,Graveyard,48.0,Mortar,71.0,Fireball,30.0,,,,9,False,False,,,
00885,Cannon Cart,16.0,Graveyard,48.0,Mortar,71.0,Fireball,30.0,,,,9,False,False,,,
00900,Cannon Cart,16.0,Graveyard,48.0,Mortar,71.0,Fireball,30.0,,,,10,False,False,,,
00915,Cannon Cart,16.0,Graveyard,48.0,Mortar,71.0,Fireball,30.0,,,,10,False,False,,,
00930,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,Mortar,71.0,3.0,6,True,True,,Mortar,4.0
00945,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,6,False,False,,,
00960,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,6,False,False,,,
00975,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,6,False,False,,,
00990,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,6,False,False,,,
01005,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,7,False,False,,,
01020,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,7,False,False,,,
01035,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,7,False,False,,,
01050,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,7,False,False,,,
01065,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,7,False,False,,,
01080,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,8,False,False,,,
01095,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,8,False,False,,,
01110,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,8,False,False,,,
01125,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,8,False,False,,,
01140,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,8,False,False,,,
01155,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,8,False,False,,,
01170,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,9,False,False,,,
01185,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,9,False,False,,,
01200,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,9,False,False,,,
01215,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,9,False,False,,,
01230,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,9,False,False,,,
01245,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,9,False,False,,,
01260,Cannon Cart,16.0,Graveyard,48.0,Knight,58.0,Fireball,30.0,,,,10,False,False,,,
01275,Cannon Cart,16.0,Graveyard,48.0,Hunter,52.0,Fireball,30.0,Knight,58.0,3.0,7,True,True,,Knight,3.0
01290,Cannon Cart,16.0,Graveyard,48.0,Hunter,52.0,Fireball,30.0,,,,7,False,False,,,
01305,Cannon Cart,16.0,Graveyard,48.0,Hunter,52.0,Fireball,30.0,,,,7,False,False,,,
01320,Cannon Cart,16.0,Graveyard,48.0,Hunter,52.0,Fireball,30.0,,,,7,False,False,,,
01335,Cannon Cart,16.0,Graveyard,48.0,Hunter,52.0,Fireball,30.0,,,,7,False,False,,,
01350,Cannon Cart,16.0,Graveyard,48.0,Hunter,52.0,Fireball,30.0,,,,7,False,False,,,
01365,Cannon Cart,16.0,Graveyard,48.0,Hunter,52.0,Fireball,30.0,,,,8,False,False,,,
01380,Cannon Cart,16.0,Graveyard,48.0,Hunter,52.0,Fireball,30.0,,,,8,False,False,,,
01395,Cannon Cart,16.0,Graveyard,48.0,Hunter,52.0,Fireball,30.0,,,,8,False,False,,,
01410,Cannon Cart,16.0,Graveyard,48.0,Hunter,52.0,Fireball,30.0,,,,8,False,False,,,
