frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,6.0,,,
00255,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,6.0,,,
00270,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,7.0,,,
00285,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,7.0,,,
00300,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,7.0,,,
00315,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,7.0,,,
00330,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,7.0,,,
00345,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,7.0,,,
00360,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,8.0,,,
00375,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,8.0,,,
00390,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,8.0,,,
00405,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,8.0,,,
00420,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,8.0,,,
00435,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,8.0,,,
00450,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,9.0,,,
00465,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,9.0,,,
00480,Skeletons,94.0,Tesla,97.0,Ice Spirit,54.0,Fireball,30.0,,,,9.0,,,
00495,Skeletons,94.0,Tesla,97.0,X,106.0,Fireball,30.0,,,,8.0,,,
00510,Skeletons,94.0,Tesla,97.0,X,106.0,Fireball,30.0,,,,8.0,,,
00525,Skeletons,94.0,Tesla,97.0,X,106.0,Fireball,30.0,,,,9.0,,,
00540,Skeletons,94.0,Tesla,97.0,X,106.0,Fireball,30.0,,,,9.0,,,
00555,Skeletons,94.0,Tesla,97.0,X,106.0,Fireball,30.0,,,,9.0,,,
00570,Skeletons,94.0,Tesla,97.0,X,106.0,Fireball,30.0,,,,9.0,,,
00585,Skeletons,94.0,Tesla,97.0,X,106.0,Fireball,30.0,,,,9.0,,,
00600,Skeletons,94.0,Guards,49.0,Skeleton Barrel,91.0,,,,,,3.0,,,
00615,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Fireball,30.0,,,,4.0,,,
00630,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Fireball,30.0,,,,4.0,,,
00645,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Fireball,30.0,,,,4.0,,,
00660,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Fireball,30.0,,,,4.0,,,
00675,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Fireball,30.0,,,,4.0,,,
00690,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Fireball,30.0,,,,5.0,,,
00705,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Fireball,30.0,,,,5.0,,,
00720,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Fireball,30.0,,,,5.0,,,
00735,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Fireball,30.0,,,,5.0,,,
00750,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Fireball,30.0,,,,5.0,,,
00765,Skeletons,94.0,,,,,,,,,,1.0,,,
00780,Skeletons,94.0,,,Ice Golem,53.0,,,,,,2.0,,,
00795,Skeletons,94.0,,,Ice Golem,53.0,,,,,,2.0,,,
00810,Skeletons,94.0,,,Ice Golem,53.0,,,,,,2.0,,,
00825,Skeletons,94.0,,,Ice Golem,53.0,,,,,,2.0,,,
00840,Skeletons,94.0,,,Ice Golem,53.0,,,,,,2.0,,,
00855,Skeletons,94.0,,,Ice Golem,53.0,,,,,,2.0,,,
00870,Skeletons,94.0,,,Ice Golem,53.0,Archers,1.0,,,,3.0,,,
00885,Skeletons,94.0,,,Ice Golem,53.0,Archers,1.0,,,,3.0,,,
00900,Skeletons,94.0,,,Ice Golem,53.0,Archers,1.0,,,,3.0,,,
00915,Skeletons,94.0,,,Ice Golem,53.0,Archers,1.0,,,,3.0,,,
00930,Skeletons,94.0,,,Ice Golem,53.0,Archers,1.0,,,,3.0,,,
00945,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,4.0,,,
00960,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,4.0,,,
00975,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,4.0,,,
00990,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,4.0,,,
01005,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,4.0,,,
01020,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,4.0,,,
01035,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,5.0,,,
01050,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,5.0,,,
01065,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,5.0,,,
01080,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,5.0,,,
01095,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,5.0,,,
01110,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,6.0,,,
01125,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,6.0,,,
01140,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,6.0,,,
01155,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,6.0,,,
01170,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,6.0,,,
01185,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,6.0,,,
01200,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,7.0,,,
01215,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,7.0,,,
01230,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,7.0,,,
01245,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,7.0,,,
01260,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,7.0,,,
01275,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,7.0,,,
01290,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,8.0,,,
01305,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,8.0,,,
01320,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,8.0,,,
01335,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,8.0,,,
01350,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,8.0,,,
01365,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,9.0,,,
01380,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,9.0,,,
01395,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,9.0,,,
01410,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,9.0,,,
01425,Skeletons,94.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,9.0,,,
01440,Barbarian Barrel,6.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,8.0,,,
01455,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,9.0,,,
01470,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,9.0,,,
01485,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,9.0,,,
01500,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,9.0,,,
01515,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Archers,1.0,,,,9.0,,,
01530,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Ice Spirit,54.0,,,,3.0,,,
01545,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Ice Spirit,54.0,,,,7.0,,,
01560,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Ice Spirit,54.0,,,,7.0,,,
01575,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Ice Spirit,54.0,,,,7.0,,,
01590,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Ice Spirit,54.0,,,,7.0,,,
01605,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Ice Spirit,54.0,,,,7.0,,,
01620,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Ice Spirit,54.0,,,,8.0,,,
01635,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Ice Spirit,54.0,,,,8.0,,,
01650,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Ice Spirit,54.0,,,,8.0,,,
01665,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Ice Spirit,54.0,,,,8.0,,,
01680,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Ice Spirit,54.0,,,,8.0,,,
01695,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Ice Spirit,54.0,,,,8.0,,,
01710,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Ice Spirit,54.0,,,,9.0,,,
01725,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Ice Spirit,54.0,,,,9.0,,,
01740,The Log,98.0,Tesla,97.0,Ice Golem,53.0,Ice Spirit,54.0,,,,9.0,,,
01755,The Log,98.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
01770,The Log,98.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
01785,The Log,98.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
01800,The Log,98.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
01815,The Log,98.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
01830,The Log,98.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
01845,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,3.0,,,
01860,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,7.0,,,
01875,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
01890,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
01905,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
01920,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
01935,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
01950,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
01965,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
01980,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
01995,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
02010,Fireball,30.0,Tesla,97.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
02025,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,,,,,,5.0,,,
02040,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,6.0,,,
02055,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,6.0,,,
02070,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,6.0,,,
02085,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,6.0,,,
02100,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,6.0,,,
02115,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,6.0,,,
02130,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,7.0,,,
02145,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,7.0,,,
02160,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,7.0,,,
02175,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,7.0,,,
02190,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,7.0,,,
02205,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
02220,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
02235,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
02250,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
02265,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
02280,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
02295,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
02310,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
02325,Fireball,30.0,Skeletons,94.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
02340,Fireball,30.0,Archers,1.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
02355,Fireball,30.0,Archers,1.0,Ice Golem,53.0,X,106.0,,,,8.0,,,
02370,Fireball,30.0,Archers,1.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
02385,Fireball,30.0,Archers,1.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
02400,Fireball,30.0,Archers,1.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
02415,Fireball,30.0,Archers,1.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
02430,Fireball,30.0,Archers,1.0,Ice Golem,53.0,X,106.0,,,,9.0,,,
02445,Fireball,30.0,Null,75.0,Ice Golem,53.0,X,106.0,,,,6.0,,,
02460,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,,,,3.0,,,
02475,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,,,,3.0,,,
02490,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,,,,3.0,,,
02505,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,,,,3.0,,,
02520,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,,,,3.0,,,
02535,Fireball,30.0,Ice Spirit,54.0,Ice Golem,53.0,X,106.0,,,,3.0,,,
