frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,6,False,False,,,
00255,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,6,False,False,,,
00270,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,6,False,False,,,
00285,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,7,False,False,,,
00300,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,7,False,False,,,
00315,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,7,False,False,,,
00330,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,7,False,False,,,
00345,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,7,False,False,,,
00360,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,7,False,False,,,
00375,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,8,False,False,,,
00390,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,8,False,False,,,
00405,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,8,False,False,,,
00420,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,8,False,False,,,
00435,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,8,False,False,,,
00450,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,9,False,False,,,
00465,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,9,False,False,,,
00480,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,9,False,False,,,
00495,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,9,False,False,,,
00510,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,9,False,False,,,
00525,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,9,False,False,,,
00540,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,10,False,False,,,
00555,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,10,False,False,,,
00570,Tesla,97.0,The Log,98.0,Tornado,101.0,Ice Wizard,55.0,,,,10,False,False,,,
00585,Tesla,97.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,The Log,98.0,2.0,8,True,True,,The Log,2.0
00600,Tesla,97.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,8,False,False,,,
00615,Tesla,97.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,8,False,False,,,
00630,Tesla,97.0,X,106.0,Tornado,101.0,Ice Wizard,55.0,,,,8,False,False,,,
