frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,6,,,
00255,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,6,,,
00270,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,7,,,
00285,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,7,,,
00300,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,7,,,
00315,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,7,,,
00330,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,7,,,
00345,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,7,,,
00360,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,8,,,
00375,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,8,,,
00390,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,8,,,
00405,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,8,,,
00420,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,8,,,
00435,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,9,,,
00450,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,9,,,
00465,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,9,,,
00480,Spear Goblins,96.0,Mortar,71.0,Musketeer,73.0,The Log,98.0,,,,9,,,
00495,Spear Goblins,96.0,Null,75.0,Musketeer,73.0,The Log,98.0,,,,5,,,
00510,Spear Goblins,96.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,5,,,
00525,Spear Goblins,96.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,6,,,
00540,Spear Goblins,96.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,6,,,
00555,Spear Goblins,96.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,6,,,
00570,Spear Goblins,96.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,6,,,
00585,Spear Goblins,96.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,6,,,
00600,Spear Goblins,96.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,6,,,
00615,Spear Goblins,96.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,7,,,
00630,Fireball,30.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,5,,,
00645,Fireball,30.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,5,,,
00660,Fireball,30.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,5,,,
00675,Fireball,30.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,5,,,
00690,Fireball,30.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,6,,,
00705,Fireball,30.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,6,,,
00720,Fireball,30.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,6,,,
00735,Fireball,30.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,6,,,
00750,Fireball,30.0,Knight,58.0,Musketeer,73.0,The Log,98.0,,,,6,,,
