frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,6.0,,,
00240,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,6.0,,,
00255,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,6.0,,,
00270,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,6.0,,,
00285,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,7.0,,,
00300,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,7.0,,,
00315,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,7.0,,,
00330,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,7.0,,,
00345,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,7.0,,,
00360,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,7.0,,,
00375,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,8.0,,,
00390,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,8.0,,,
00405,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,8.0,,,
00420,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,8.0,,,
00435,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,8.0,,,
00450,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,9.0,,,
00465,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,9.0,,,
00480,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,9.0,,,
00495,Archers,1.0,The Log,98.0,Tesla,97.0,X,106.0,,,,9.0,,,
00510,Null,75.0,The Log,98.0,Tesla,97.0,X,106.0,,,,6.0,,,
00525,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,6.0,,,
00540,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,7.0,,,
00555,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,7.0,,,
00570,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,7.0,,,
00585,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,7.0,,,
00600,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,7.0,,,
00615,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,8.0,,,
00630,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,8.0,,,
00645,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,8.0,,,
00660,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,8.0,,,
00675,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,8.0,,,
00690,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,8.0,,,
00705,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,9.0,,,
00720,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,9.0,,,
00735,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,9.0,,,
00750,Skeletons,94.0,The Log,98.0,Tesla,97.0,X,106.0,,,,9.0,,,
00765,Skeletons,94.0,The Log,98.0,Zap,107.0,X,106.0,,,,5.0,,,
00780,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,5.0,,,
00795,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,6.0,,,
00810,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,6.0,,,
00825,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,6.0,,,
00840,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,6.0,,,
00855,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,6.0,,,
00870,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,7.0,,,
00885,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,7.0,,,
00900,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,7.0,,,
00915,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,7.0,,,
00930,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,7.0,,,
00945,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,7.0,,,
00960,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,8.0,,,
00975,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,8.0,,,
00990,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,8.0,,,
01005,Skeletons,94.0,The Log,98.0,Ice Spirit,54.0,X,106.0,,,,8.0,,,
01020,Skeletons,94.0,The Log,98.0,Knight,58.0,X,106.0,,,,7.0,,,
01035,Skeletons,94.0,The Log,98.0,Knight,58.0,X,106.0,,,,8.0,,,
01050,Skeletons,94.0,The Log,98.0,Knight,58.0,X,106.0,,,,8.0,,,
01065,Skeletons,94.0,The Log,98.0,Knight,58.0,X,106.0,,,,8.0,,,
01080,Skeletons,94.0,The Log,98.0,Knight,58.0,X,106.0,,,,8.0,,,
01095,Skeletons,94.0,The Log,98.0,Knight,58.0,X,106.0,,,,8.0,,,
01110,Skeletons,94.0,The Log,98.0,Knight,58.0,X,106.0,,,,8.0,,,
01125,Skeletons,94.0,The Log,98.0,Knight,58.0,X,106.0,,,,9.0,,,
01140,Skeletons,94.0,The Log,98.0,Knight,58.0,X,106.0,,,,9.0,,,
01155,Skeletons,94.0,The Log,98.0,Knight,58.0,X,106.0,,,,9.0,,,
01170,Skeletons,94.0,The Log,98.0,Knight,58.0,X,106.0,,,,9.0,,,
01185,Skeletons,94.0,Fireball,30.0,Knight,58.0,X,106.0,,,,7.0,,,
01200,Skeletons,94.0,Fireball,30.0,Knight,58.0,X,106.0,,,,7.0,,,
01215,Skeletons,94.0,Fireball,30.0,Knight,58.0,X,106.0,,,,8.0,,,
01230,Skeletons,94.0,Fireball,30.0,Knight,58.0,X,106.0,,,,8.0,,,
01245,Skeletons,94.0,Fireball,30.0,Knight,58.0,X,106.0,,,,8.0,,,
01260,Skeletons,94.0,Fireball,30.0,Knight,58.0,X,106.0,,,,8.0,,,
01275,Skeletons,94.0,Fireball,30.0,Knight,58.0,X,106.0,,,,8.0,,,
01290,Skeletons,94.0,Fireball,30.0,Knight,58.0,X,106.0,,,,9.0,,,
01305,Skeletons,94.0,Fireball,30.0,Knight,58.0,X,106.0,,,,9.0,,,
01320,Skeletons,94.0,Fireball,30.0,Knight,58.0,X,106.0,,,,9.0,,,
01335,Skeletons,94.0,Fireball,30.0,Knight,58.0,X,106.0,,,,9.0,,,
01350,Skeletons,94.0,Fireball,30.0,Knight,58.0,X,106.0,,,,9.0,,,
01365,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,6.0,,,
01380,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,3.0,,,
01395,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,3.0,,,
01410,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,3.0,,,
01425,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,3.0,,,
01440,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,7.0,,,
01455,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,8.0,,,
01470,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,8.0,,,
01485,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,8.0,,,
01500,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,8.0,,,
01515,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,8.0,,,
01530,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,8.0,,,
01545,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9.0,,,
01560,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9.0,,,
01575,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9.0,,,
01590,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9.0,,,
01605,Skeletons,94.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9.0,,,
01620,Tesla,97.0,Fireball,30.0,Archers,1.0,X,106.0,,,,8.0,,,
01635,Tesla,97.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9.0,,,
01650,Tesla,97.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9.0,,,
01665,Tesla,97.0,Fireball,30.0,Archers,1.0,X,106.0,,,,9.0,,,
