frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,6,False,False,,,
00240,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,6,False,False,,,
00255,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,6,False,False,,,
00270,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,6,False,False,,,
00285,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,7,False,False,,,
00300,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,7,False,False,,,
00315,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,7,False,False,,,
00330,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,7,False,False,,,
00345,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,7,False,False,,,
00360,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,8,False,False,,,
00375,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,8,False,False,,,
00390,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,8,False,False,,,
00405,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,8,False,False,,,
00420,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,8,False,False,,,
00435,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,8,False,False,,,
00450,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,9,False,False,,,
00465,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,9,False,False,,,
00480,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,9,False,False,,,
00495,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,9,False,False,,,
00510,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,9,False,False,,,
00525,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,10,False,False,,,
00540,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,10,False,False,,,
00555,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,10,False,False,,,
00570,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,10,False,False,,,
00585,Knight,58.0,Tornado,101.0,The Log,98.0,Tesla,97.0,,,,10,False,False,,,
00600,Knight,58.0,Tornado,101.0,X,106.0,Tesla,97.0,The Log,98.0,3.0,8,True,True,,The Log,2.0
00615,Knight,58.0,Tornado,101.0,X,106.0,Tesla,97.0,,,,8,False,False,,,
00630,Knight,58.0,Tornado,101.0,X,106.0,Tesla,97.0,,,,8,False,False,,,
00645,Knight,58.0,Tornado,101.0,X,106.0,Tesla,97.0,,,,8,False,False,,,
00660,Knight,58.0,Tornado,101.0,X,106.0,Tesla,97.0,,,,8,False,False,,,
00675,Knight,58.0,Tornado,101.0,X,106.0,Tesla,97.0,,,,9,False,False,,,
