frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,6,,,
00255,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,6,,,
00270,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,6,,,
00285,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,7,,,
00300,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,7,,,
00315,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,7,,,
00330,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,7,,,
00345,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,7,,,
00360,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,8,,,
00375,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,8,,,
00390,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,8,,,
00405,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,8,,,
00420,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,8,,,
00435,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,8,,,
00450,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,9,,,
00465,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,9,,,
00480,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,9,,,
00495,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,9,,,
00510,Fireball,30.0,The Log,98.0,Spear Goblins,96.0,Goblin Gang,42.0,,,,9,,,
00525,Fireball,30.0,The Log,98.0,Musketeer,73.0,Goblin Gang,42.0,,,,8,,,
00540,Fireball,30.0,The Log,98.0,Musketeer,73.0,Goblin Gang,42.0,,,,8,,,
00555,Fireball,30.0,The Log,98.0,Musketeer,73.0,Goblin Gang,42.0,,,,8,,,
00570,Fireball,30.0,The Log,98.0,Musketeer,73.0,Goblin Gang,42.0,,,,8,,,
00585,Fireball,30.0,The Log,98.0,Musketeer,73.0,Goblin Gang,42.0,,,,8,,,
00600,Fireball,30.0,The Log,98.0,Musketeer,73.0,Goblin Gang,42.0,,,,8,,,
00615,Fireball,30.0,The Log,98.0,Musketeer,73.0,Goblin Gang,42.0,,,,9,,,
00630,Fireball,30.0,The Log,98.0,Musketeer,73.0,Goblin Gang,42.0,,,,9,,,
00645,Fireball,30.0,The Log,98.0,Musketeer,73.0,Goblin Gang,42.0,,,,9,,,
00660,Fireball,30.0,The Log,98.0,Musketeer,73.0,Goblin Gang,42.0,,,,9,,,
00675,Fireball,30.0,The Log,98.0,Musketeer,73.0,Goblin Gang,42.0,,,,9,,,
00690,Fireball,30.0,The Log,98.0,Mortar,71.0,Goblin Gang,42.0,,,,5,,,
