frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,6.0,,,
00255,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,6.0,,,
00270,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,7.0,,,
00285,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,7.0,,,
00300,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,7.0,,,
00315,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,7.0,,,
00330,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,7.0,,,
00345,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,7.0,,,
00360,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,8.0,,,
00375,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,8.0,,,
00390,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,8.0,,,
00405,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,8.0,,,
00420,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,8.0,,,
00435,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,8.0,,,
00450,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,9.0,,,
00465,Archers,1.0,The Log,98.0,X,106.0,Tesla,97.0,,,,9.0,,,
00480,Archers,1.0,Fireball,30.0,X,106.0,Tesla,97.0,,,,7.0,,,
00495,Archers,1.0,Fireball,30.0,X,106.0,Tesla,97.0,,,,7.0,,,
00510,Archers,1.0,Fireball,30.0,X,106.0,Tesla,97.0,,,,7.0,,,
00525,Archers,1.0,Fireball,30.0,X,106.0,Tesla,97.0,,,,8.0,,,
00540,Archers,1.0,Fireball,30.0,X,106.0,Tesla,97.0,,,,8.0,,,
00555,Archers,1.0,Fireball,30.0,X,106.0,Tesla,97.0,,,,8.0,,,
00570,Archers,1.0,Fireball,30.0,X,106.0,Tesla,97.0,,,,8.0,,,
00585,Archers,1.0,Fireball,30.0,X,106.0,Tesla,97.0,,,,8.0,,,
00600,Archers,1.0,Fireball,30.0,X,106.0,Tesla,97.0,,,,8.0,,,
00615,Archers,1.0,Fireball,30.0,X,106.0,Tesla,97.0,,,,9.0,,,
00630,Archers,1.0,Fireball,30.0,X,106.0,Tesla,97.0,,,,9.0,,,
00645,Archers,1.0,Fireball,30.0,X,106.0,Tesla,97.0,,,,9.0,,,
