frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00255,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,6,False,False,,,
00270,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,6,False,False,,,
00285,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,6,False,False,,,
00300,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,7,False,False,,,
00315,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,7,False,False,,,
00330,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,7,False,False,,,
00345,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,7,False,False,,,
00360,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,7,False,False,,,
00375,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,8,False,False,,,
00390,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,8,False,False,,,
00405,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,8,False,False,,,
00420,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,8,False,False,,,
00435,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,8,False,False,,,
00450,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,8,False,False,,,
00465,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,9,False,False,,,
00480,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,9,False,False,,,
00495,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,9,False,False,,,
00510,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,9,False,False,,,
00525,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,9,False,False,,,
00540,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,10,False,False,,,
00555,Balloon,4.0,Miner,66.0,Zap,107.0,Guards,49.0,,,,10,False,False,,,
