frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,6,,,
00240,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,6,,,
00255,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,6,,,
00270,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00285,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00300,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00315,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00330,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00345,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00360,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,8,,,
00375,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,8,,,
00390,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,8,,,
00405,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,8,,,
00420,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,8,,,
00435,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,9,,,
00450,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,9,,,
00465,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,9,,,
00480,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,9,,,
00495,Archers,1.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,9,,,
00510,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,6,,,
00525,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00540,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00555,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00570,Ice Golem,53.0,Skeletons,94.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
