frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,6,False,False,,,
00255,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,6,False,False,,,
00270,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,6,False,False,,,
00285,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,7,False,False,,,
00300,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,7,False,False,,,
00315,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,7,False,False,,,
00330,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,7,False,False,,,
00345,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,7,False,False,,,
00360,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,8,False,False,,,
00375,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,8,False,False,,,
00390,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,8,False,False,,,
00405,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,8,False,False,,,
00420,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,8,False,False,,,
00435,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,8,False,False,,,
00450,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,9,False,False,,,
00465,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,9,False,False,,,
00480,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,9,False,False,,,
00495,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,9,False,False,,,
00510,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,9,False,False,,,
00525,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,10,False,False,,,
00540,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,10,False,False,,,
00555,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,10,False,False,,,
00570,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,10,False,False,,,
00585,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,10,False,False,,,
00600,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,10,False,False,,,
00615,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,10,False,False,,,
00630,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,10,False,False,,,
00645,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,10,False,False,,,
00660,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,10,False,False,,,
00675,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,10,False,False,,,
00690,Goblins,45.0,The Log,98.0,X,106.0,Tornado,101.0,,,,10,False,False,,,
00705,The Log,98.0,The Log,98.0,X,106.0,Tornado,101.0,Goblins,45.0,1.0,8,True,True,,Goblins,2.0
