frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,6,,,
00255,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,6,,,
00270,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,6,,,
00285,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,7,,,
00300,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,7,,,
00315,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,7,,,
00330,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,7,,,
00345,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,7,,,
00360,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,8,,,
00375,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,8,,,
00390,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,8,,,
00405,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,8,,,
00420,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,8,,,
00435,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,8,,,
00450,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,9,,,
00465,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,9,,,
00480,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,9,,,
00495,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,9,,,
00510,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,9,,,
00525,Rocket,84.0,Skeletons,94.0,X,106.0,Ice Wizard,55.0,,,,9,,,
00540,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,6,,,
00555,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,6,,,
00570,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,6,,,
00585,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,6,,,
00600,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,6,,,
00615,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,7,,,
00630,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,7,,,
00645,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,7,,,
00660,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,7,,,
00675,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,7,,,
00690,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,7,,,
00705,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,8,,,
00720,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,8,,,
00735,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,8,,,
00750,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,8,,,
00765,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,8,,,
00780,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,9,,,
00795,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,9,,,
00810,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,9,,,
00825,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,9,,,
00840,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,9,,,
00855,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,9,,,
00870,Rocket,84.0,The Log,98.0,X,106.0,Tornado,101.0,,,,10,,,
00885,Rocket,84.0,The Log,98.0,Tesla,97.0,Tornado,101.0,,,,4,,,
00900,Rocket,84.0,The Log,98.0,Tesla,97.0,Tornado,101.0,,,,4,,,
00915,Rocket,84.0,The Log,98.0,Tesla,97.0,Tornado,101.0,,,,4,,,
00930,Rocket,84.0,The Log,98.0,Tesla,97.0,Tornado,101.0,,,,4,,,
00945,Rocket,84.0,The Log,98.0,Tesla,97.0,Tornado,101.0,,,,4,,,
00960,Rocket,84.0,The Log,98.0,Knight,58.0,Tornado,101.0,,,,1,,,
00975,Rocket,84.0,The Log,98.0,Knight,58.0,Tornado,101.0,,,,1,,,
00990,Rocket,84.0,The Log,98.0,Knight,58.0,Tornado,101.0,,,,1,,,
01005,Rocket,84.0,The Log,98.0,Knight,58.0,Tornado,101.0,,,,1,,,
01020,Rocket,84.0,The Log,98.0,Knight,58.0,Tornado,101.0,,,,1,,,
01035,Rocket,84.0,The Log,98.0,Knight,58.0,Tornado,101.0,,,,1,,,
01050,Rocket,84.0,The Log,98.0,Knight,58.0,Tornado,101.0,,,,2,,,
01065,Rocket,84.0,The Log,98.0,Knight,58.0,Tornado,101.0,,,,2,,,
01080,Rocket,84.0,The Log,98.0,Knight,58.0,Tornado,101.0,,,,2,,,
01095,Rocket,84.0,Ice Wizard,55.0,Knight,58.0,Tornado,101.0,,,,3,,,
01110,Rocket,84.0,Ice Wizard,55.0,Knight,58.0,Tornado,101.0,,,,3,,,
01125,Rocket,84.0,Ice Wizard,55.0,Knight,58.0,Tornado,101.0,,,,3,,,
