frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,6.0,,,
00270,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,6.0,,,
00285,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,6.0,,,
00300,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,7.0,,,
00315,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,7.0,,,
00330,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,7.0,,,
00345,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,7.0,,,
00360,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,7.0,,,
00375,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,7.0,,,
00390,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,8.0,,,
00405,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,8.0,,,
00420,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,8.0,,,
00435,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,8.0,,,
00450,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,8.0,,,
00465,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,9.0,,,
00480,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,9.0,,,
00495,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,9.0,,,
00510,Mega Minion,64.0,Giant,36.0,Fireball,30.0,Prince,79.0,,,,9.0,,,
00525,Mega Minion,64.0,Arrows,2.0,Fireball,30.0,Prince,79.0,,,,4.0,,,
00540,Mega Minion,64.0,Skeleton Dragons,92.0,Fireball,30.0,,,,,,4.0,,,
00555,Mega Minion,64.0,Skeleton Dragons,92.0,Fireball,30.0,Prince,79.0,,,,5.0,,,
00570,Mega Minion,64.0,Skeleton Dragons,92.0,Fireball,30.0,Prince,79.0,,,,5.0,,,
00585,Mega Minion,64.0,Skeleton Dragons,92.0,Fireball,30.0,Prince,79.0,,,,5.0,,,
00600,Mega Minion,64.0,Skeleton Dragons,92.0,Fireball,30.0,Prince,79.0,,,,5.0,,,
00615,Mega Minion,64.0,Skeleton Dragons,92.0,Fireball,30.0,Prince,79.0,,,,5.0,,,
00630,Mega Minion,64.0,Skeleton Dragons,92.0,Fireball,30.0,Prince,79.0,,,,6.0,,,
00645,Mega Minion,64.0,Skeleton Dragons,92.0,Fireball,30.0,Prince,79.0,,,,6.0,,,
00660,Mega Minion,64.0,Skeleton Dragons,92.0,Fireball,30.0,Prince,79.0,,,,6.0,,,
00675,Mega Minion,64.0,Skeleton Dragons,92.0,Fireball,30.0,Prince,79.0,,,,6.0,,,
