frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Skeleton Dragons,92.0,,,Witch,104.0,Flying Machine,33.0,,,,6,,,
00255,Skeleton Dragons,92.0,,,Witch,104.0,Flying Machine,33.0,,,,6,,,
00270,Skeleton Dragons,92.0,,,Goblin Drill,41.0,Flying Machine,33.0,,,,6,,,
00285,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,7,,,
00300,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,7,,,
00315,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,7,,,
00330,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,7,,,
00345,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,7,,,
00360,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,7,,,
00375,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,8,,,
00390,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,8,,,
00405,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,8,,,
00420,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,8,,,
00435,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,8,,,
00450,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,9,,,
00465,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,9,,,
00480,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,9,,,
00495,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,9,,,
00510,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,9,,,
00525,Skeleton Dragons,92.0,Lava Hound,59.0,Witch,104.0,Flying Machine,33.0,,,,9,,,
00540,,,,,Mini P.E.K.K.A,67.0,,,,,,3,,,
00555,,,,,Mini P.E.K.K.A,67.0,,,,,,3,,,
00570,,,,,Lava Hound,59.0,,,,,,3,,,
00585,,,,,Electro Dragon,21.0,,,,,,3,,,
00600,,,,,Electro Dragon,21.0,,,,,,3,,,
00615,Skeleton Dragons,92.0,Fireball,30.0,Goblin Drill,41.0,Flying Machine,33.0,,,,4,,,
00630,Skeleton Dragons,92.0,Fireball,30.0,Goblin Drill,41.0,Flying Machine,33.0,,,,4,,,
00645,Skeleton Dragons,92.0,Fireball,30.0,Witch,104.0,Flying Machine,33.0,,,,4,,,
00660,Skeleton Dragons,92.0,Fireball,30.0,Witch,104.0,Flying Machine,33.0,,,,4,,,
00675,Skeleton Dragons,92.0,Fireball,30.0,Witch,104.0,Flying Machine,33.0,,,,4,,,
00690,Skeleton Dragons,92.0,Fireball,30.0,Witch,104.0,Flying Machine,33.0,,,,4,,,
