frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,6.0,,,
00240,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,6.0,,,
00255,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,6.0,,,
00270,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,7.0,,,
00285,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,7.0,,,
00300,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,7.0,,,
00315,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,7.0,,,
00330,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,7.0,,,
00345,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,7.0,,,
00360,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,8.0,,,
00375,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,8.0,,,
00390,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,8.0,,,
00405,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,8.0,,,
00420,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,8.0,,,
00435,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,9.0,,,
00450,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,9.0,,,
00465,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,9.0,,,
00480,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,9.0,,,
00495,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,9.0,,,
00510,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,9.0,,,
00525,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,10.0,,,
00540,Poison,78.0,Baby Dragon,3.0,Tornado,101.0,Graveyard,48.0,,,,10.0,,,
