frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,6,False,False,,,
00255,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,6,False,False,,,
00270,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,6,False,False,,,
00285,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,7,False,False,,,
00300,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,7,False,False,,,
00315,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,7,False,False,,,
00330,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,7,False,False,,,
00345,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,7,False,False,,,
00360,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,7,False,False,,,
00375,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,8,False,False,,,
00390,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,8,False,False,,,
00405,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,8,False,False,,,
00420,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,8,False,False,,,
00435,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,8,False,False,,,
00450,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,9,False,False,,,
00465,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,9,False,False,,,
00480,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,9,False,False,,,
00495,Ice Spirit,54.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,9,False,False,,,
00510,Fireball,30.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,Ice Spirit,54.0,1.0,8,True,True,,Ice Spirit,1.0
00525,Fireball,30.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,8,False,False,,,
00540,Fireball,30.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,9,False,False,,,
00555,Fireball,30.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,9,False,False,,,
00570,Fireball,30.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,9,False,False,,,
00585,Fireball,30.0,The Log,98.0,Archers,1.0,Ice Golem,53.0,,,,9,False,False,,,
00600,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,Archers,1.0,3.0,6,True,True,,Archers,3.0
00615,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,,,,7,False,False,,,
00630,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,,,,7,False,False,,,
00645,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,,,,7,False,False,,,
00660,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,,,,7,False,False,,,
00675,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,,,,7,False,False,,,
00690,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,,,,7,False,False,,,
00705,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,,,,8,False,False,,,
00720,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,,,,8,False,False,,,
00735,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,,,,8,False,False,,,
00750,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,,,,8,False,False,,,
00765,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,,,,8,False,False,,,
00780,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,,,,8,False,False,,,
00795,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,,,,9,False,False,,,
00810,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,,,,9,False,False,,,
00825,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Golem,53.0,,,,9,False,False,,,
00840,Fireball,30.0,The Log,98.0,X,106.0,Ice Golem,53.0,Skeletons,94.0,3.0,8,True,True,,Skeletons,1.0
