frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,6,,,
00255,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,6,,,
00270,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,6,,,
00285,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,7,,,
00300,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,7,,,
00315,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,7,,,
00330,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,7,,,
00345,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,7,,,
00360,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,7,,,
00375,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,8,,,
00390,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,8,,,
00405,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,8,,,
00420,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,8,,,
00435,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,8,,,
00450,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,9,,,
00465,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,9,,,
00480,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,9,,,
00495,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,9,,,
00510,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,9,,,
00525,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,9,,,
00540,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,10,,,
00555,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,10,,,
00570,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,10,,,
00585,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,10,,,
00600,Knight,58.0,X,106.0,Rocket,84.0,Ice Wizard,55.0,,,,10,,,
00615,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,4,,,
00630,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,4,,,
00645,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,4,,,
00660,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,4,,,
00675,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,4,,,
00690,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,4,,,
00705,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,5,,,
00720,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,5,,,
00735,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,5,,,
00750,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,5,,,
00765,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,5,,,
00780,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,6,,,
00795,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,6,,,
00810,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,6,,,
00825,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,6,,,
00840,Knight,58.0,Skeletons,94.0,Rocket,84.0,Ice Wizard,55.0,,,,6,,,
00855,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,3,,,
00870,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,4,,,
00885,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,4,,,
00900,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,4,,,
00915,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,4,,,
00930,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,4,,,
00945,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,5,,,
00960,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,5,,,
00975,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,5,,,
00990,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,5,,,
01005,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,5,,,
01020,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,5,,,
01035,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,6,,,
01050,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,6,,,
01065,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,6,,,
01080,Knight,58.0,Skeletons,94.0,Rocket,84.0,Tesla,97.0,,,,6,,,
01095,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,5,,,
01110,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,5,,,
01125,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,6,,,
01140,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,6,,,
01155,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,6,,,
01170,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,6,,,
01185,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,6,,,
01200,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,7,,,
01215,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,7,,,
01230,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,7,,,
01245,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,7,,,
01260,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,7,,,
01275,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,7,,,
01290,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,8,,,
01305,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,8,,,
01320,Knight,58.0,The Log,98.0,Rocket,84.0,Tesla,97.0,,,,8,,,
