frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,6,,,
00255,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,6,,,
00270,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,6,,,
00285,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,7,,,
00300,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,7,,,
00315,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,7,,,
00330,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,7,,,
00345,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,7,,,
00360,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,8,,,
00375,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,8,,,
00390,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,8,,,
00405,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,8,,,
00420,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,8,,,
00435,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,8,,,
00450,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,9,,,
00465,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,9,,,
00480,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,9,,,
00495,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,9,,,
00510,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,9,,,
00525,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,10,,,
00540,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,10,,,
00555,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,10,,,
00570,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,10,,,
00585,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,10,,,
00600,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,10,,,
00615,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,10,,,
00630,Knight,58.0,Rocket,84.0,Tornado,101.0,The Log,98.0,,,,10,,,
00645,Knight,58.0,Rocket,84.0,Tornado,101.0,Skeletons,94.0,,,,8,,,
