frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,6,False,False,,,
00255,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,6,False,False,,,
00270,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,6,False,False,,,
00285,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,7,False,False,,,
00300,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,7,False,False,,,
00315,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,7,False,False,,,
00330,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,7,False,False,,,
00345,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,7,False,False,,,
00360,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,8,False,False,,,
00375,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,8,False,False,,,
00390,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,8,False,False,,,
00405,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,8,False,False,,,
00420,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,8,False,False,,,
00435,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,8,False,False,,,
00450,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,9,False,False,,,
00465,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,9,False,False,,,
00480,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,9,False,False,,,
00495,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,9,False,False,,,
00510,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Giant Snowball,38.0,,,,9,False,False,,,
00525,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Miner,66.0,Giant Snowball,38.0,4.0,8,True,True,,Giant Snowball,2.0
00540,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Miner,66.0,,,,8,False,False,,,
00555,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Miner,66.0,,,,8,False,False,,,
00570,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Miner,66.0,,,,8,False,False,,,
00585,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Miner,66.0,,,,8,False,False,,,
00600,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Miner,66.0,,,,8,False,False,,,
00615,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Miner,66.0,,,,9,False,False,,,
00630,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Miner,66.0,,,,9,False,False,,,
00645,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Miner,66.0,,,,9,False,False,,,
00660,Musketeer,73.0,Balloon,4.0,Bomb Tower,12.0,Miner,66.0,,,,9,False,False,,,
