frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,6,,,
00255,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,6,,,
00270,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,6,,,
00285,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,6,,,
00300,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,7,,,
00315,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,7,,,
00330,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,7,,,
00345,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,7,,,
00360,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,7,,,
00375,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,8,,,
00390,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,8,,,
00405,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,8,,,
00420,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,8,,,
00435,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,8,,,
00450,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,8,,,
00465,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,9,,,
00480,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,9,,,
00495,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,9,,,
00510,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,9,,,
00525,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,9,,,
00540,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,10,,,
00555,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,10,,,
00570,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,10,,,
00585,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,10,,,
00600,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Heal Spirit,50.0,,,,10,,,
00615,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,9,,,
00630,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,9,,,
00645,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,9,,,
00660,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,9,,,
00675,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,9,,,
00690,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,10,,,
00705,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,10,,,
00720,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,10,,,
00735,Bandit,5.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,10,,,
00750,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,7,,,
00765,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,7,,,
00780,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,7,,,
00795,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,7,,,
00810,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,7,,,
00825,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,8,,,
00840,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,8,,,
00855,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,8,,,
00870,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,8,,,
00885,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,8,,,
00900,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,9,,,
00915,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,9,,,
00930,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,9,,,
00945,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,9,,,
00960,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,9,,,
00975,Skeleton Dragons,92.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,9,,,
00990,Musketeer,73.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,6,,,
01005,Musketeer,73.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,6,,,
01020,Musketeer,73.0,Lumberjack,61.0,Ram Rider,82.0,Poison,78.0,,,,6,,,
