frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,,,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,6,False,False,,,
00240,,,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,6,False,False,,,
00255,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,1.0,6,True,False,,,
00270,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,7,False,False,,,
00285,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,7,False,False,,,
00300,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,7,False,False,,,
00315,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,7,False,False,,,
00330,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,7,False,False,,,
00345,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,7,False,False,,,
00360,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,8,False,False,,,
00375,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,8,False,False,,,
00390,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,8,False,False,,,
00405,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,8,False,False,,,
00420,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,8,False,False,,,
00435,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,8,False,False,,,
00450,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,9,False,False,,,
00465,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,9,False,False,,,
00480,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,9,False,False,,,
00495,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,9,False,False,,,
00510,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,9,False,False,,,
00525,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00540,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00555,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00570,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00585,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00600,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00615,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00630,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00645,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00660,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00675,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00690,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00705,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00720,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00735,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00750,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00765,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00780,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00795,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00810,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00825,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00840,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00855,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00870,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Heal Spirit,50.0,,,,10,False,False,,,
00885,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Spear Goblins,96.0,Heal Spirit,50.0,4.0,9,True,True,,Heal Spirit,1.0
00900,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Spear Goblins,96.0,,,,9,False,False,,,
00915,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Spear Goblins,96.0,,,,9,False,False,,,
00930,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Spear Goblins,96.0,,,,9,False,False,,,
00945,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,Spear Goblins,96.0,4.0,7,True,True,,Spear Goblins,2.0
00960,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00975,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,8,False,False,,,
00990,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,8,False,False,,,
01005,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,8,False,False,,,
01020,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,8,False,False,,,
01035,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,8,False,False,,,
01050,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,9,False,False,,,
01065,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,9,False,False,,,
01080,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,9,False,False,,,
01095,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,9,False,False,,,
01110,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,9,False,False,,,
01125,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,10,False,False,,,
01140,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,10,False,False,,,
01155,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,10,False,False,,,
01170,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,10,False,False,,,
01185,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,10,False,False,,,
01200,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,10,False,False,,,
01215,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,10,False,False,,,
01230,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,10,False,False,,,
01245,Mega Knight,63.0,Balloon,4.0,Musketeer,73.0,Barbarian Barrel,6.0,,,,10,False,False,,,
