frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,6,,,
00255,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,6,,,
00270,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,7,,,
00285,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,7,,,
00300,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,7,,,
00315,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,7,,,
00330,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,7,,,
00345,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,7,,,
00360,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,8,,,
00375,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,8,,,
00390,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,8,,,
00405,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,8,,,
00420,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,8,,,
00435,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,8,,,
00450,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,9,,,
00465,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,9,,,
00480,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,9,,,
00495,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,9,,,
00510,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,9,,,
00525,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,10,,,
00540,Archers,1.0,The Log,98.0,Knight,58.0,Fireball,30.0,,,,10,,,
00555,Archers,1.0,Tesla,97.0,Knight,58.0,Fireball,30.0,,,,8,,,
00570,Archers,1.0,Tesla,97.0,Knight,58.0,Fireball,30.0,,,,8,,,
00585,Archers,1.0,Tesla,97.0,Knight,58.0,Fireball,30.0,,,,8,,,
00600,Archers,1.0,Tesla,97.0,Knight,58.0,Fireball,30.0,,,,8,,,
