frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,6,,,
00240,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,6,,,
00255,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,6,,,
00270,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,7,,,
00285,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,7,,,
00300,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,7,,,
00315,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,7,,,
00330,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,7,,,
00345,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,7,,,
00360,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,8,,,
00375,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,8,,,
00390,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,8,,,
00405,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,8,,,
00420,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,8,,,
00435,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,8,,,
00450,Spear Goblins,96.0,Graveyard,48.0,Barbarian Barrel,6.0,Knight,58.0,,,,9,,,
00465,Spear Goblins,96.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,7,,,
00480,Spear Goblins,96.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,7,,,
00495,Spear Goblins,96.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,7,,,
00510,Spear Goblins,96.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,7,,,
00525,Spear Goblins,96.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,8,,,
00540,Spear Goblins,96.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,8,,,
00555,Spear Goblins,96.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,8,,,
00570,Spear Goblins,96.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,8,,,
00585,Spear Goblins,96.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,8,,,
00600,Spear Goblins,96.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,8,,,
00615,Spear Goblins,96.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,9,,,
00630,Spear Goblins,96.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,9,,,
00645,Spear Goblins,96.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,9,,,
00660,Spear Goblins,96.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,9,,,
00675,Mortar,71.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,7,,,
00690,Mortar,71.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,8,,,
00705,Mortar,71.0,Graveyard,48.0,Fireball,30.0,Knight,58.0,,,,8,,,
