frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00270,,,,,Skeleton Army,90.0,Baby Dragon,3.0,,,,6,,,
00285,,,,,Skeleton Army,90.0,Baby Dragon,3.0,,,,6,,,
00300,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,6,,,
00315,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,7,,,
00330,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,7,,,
00345,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,7,,,
00360,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,7,,,
00375,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,7,,,
00390,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,8,,,
00405,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,8,,,
00420,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,8,,,
00435,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,8,,,
00450,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,8,,,
00465,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,8,,,
00480,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,9,,,
00495,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,9,,,
00510,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,9,,,
00525,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,9,,,
00540,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,9,,,
00555,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,10,,,
00570,Golem,47.0,Three Musketeers,99.0,Skeleton Army,90.0,Baby Dragon,3.0,,,,10,,,
