frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00240,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,6,False,False,,,
00255,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,6,False,False,,,
00270,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,6,False,False,,,
00285,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,7,False,False,,,
00300,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,7,False,False,,,
00315,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,7,False,False,,,
00330,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,7,False,False,,,
00345,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,7,False,False,,,
00360,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,7,False,False,,,
00375,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,8,False,False,,,
00390,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,8,False,False,,,
00405,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,8,False,False,,,
00420,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,8,False,False,,,
00435,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,8,False,False,,,
00450,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,9,False,False,,,
00465,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,9,False,False,,,
00480,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,9,False,False,,,
00495,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,9,False,False,,,
00510,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,9,False,False,,,
00525,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,9,False,False,,,
00540,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,10,False,False,,,
00555,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,10,False,False,,,
00570,Fireball,30.0,Ice Golem,53.0,Ice Spirit,54.0,X,106.0,,,,10,False,False,,,
00585,Fireball,30.0,Ice Golem,53.0,Archers,1.0,X,106.0,Ice Spirit,54.0,3.0,10,True,False,,Ice Spirit,1.0
00600,Fireball,30.0,Ice Golem,53.0,Archers,1.0,X,106.0,,,,9,False,True,,,
00615,Fireball,30.0,Ice Golem,53.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00630,Fireball,30.0,Ice Golem,53.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00645,Fireball,30.0,Ice Golem,53.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00660,Fireball,30.0,Ice Golem,53.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00675,Fireball,30.0,Ice Golem,53.0,Archers,1.0,X,106.0,,,,10,False,False,,,
00690,Fireball,30.0,Ice Golem,53.0,Archers,1.0,X,106.0,,,,10,False,False,,,
00705,Fireball,30.0,Ice Golem,53.0,Archers,1.0,X,106.0,,,,10,False,False,,,
00720,Fireball,30.0,Ice Golem,53.0,Archers,1.0,X,106.0,,,,10,False,False,,,
00735,Fireball,30.0,Ice Golem,53.0,Archers,1.0,X,106.0,,,,10,False,False,,,
00750,Fireball,30.0,Ice Golem,53.0,Archers,1.0,X,106.0,,,,10,False,False,,,
00765,Fireball,30.0,Ice Golem,53.0,Archers,1.0,X,106.0,,,,10,False,False,,,
00780,Fireball,30.0,Ice Golem,53.0,Archers,1.0,X,106.0,,,,10,False,False,,,
00795,Fireball,30.0,Tesla,97.0,Archers,1.0,X,106.0,Ice Golem,53.0,2.0,10,True,False,,Ice Golem,2.0
00810,Fireball,30.0,Tesla,97.0,Archers,1.0,X,106.0,,,,10,False,False,,,
00825,Fireball,30.0,Tesla,97.0,Archers,1.0,X,106.0,,,,8,False,True,,,
00840,Fireball,30.0,Tesla,97.0,Archers,1.0,X,106.0,,,,8,False,False,,,
00855,Fireball,30.0,Tesla,97.0,Archers,1.0,X,106.0,,,,8,False,False,,,
00870,Fireball,30.0,Tesla,97.0,Archers,1.0,X,106.0,,,,8,False,False,,,
00885,Fireball,30.0,Tesla,97.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00900,Fireball,30.0,Tesla,97.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00915,Fireball,30.0,Tesla,97.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00930,Fireball,30.0,Tesla,97.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00945,Fireball,30.0,Tesla,97.0,Archers,1.0,X,106.0,,,,9,False,False,,,
00960,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,Archers,1.0,3.0,7,True,True,,Archers,3.0
00975,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,7,False,False,,,
00990,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,7,False,False,,,
01005,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,7,False,False,,,
01020,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,7,False,False,,,
01035,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,7,False,False,,,
01050,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,8,False,False,,,
01065,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,8,False,False,,,
01080,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,8,False,False,,,
01095,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,8,False,False,,,
01110,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,8,False,False,,,
01125,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,8,False,False,,,
01140,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,9,False,False,,,
01155,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,9,False,False,,,
01170,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,9,False,False,,,
01185,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,9,False,False,,,
01200,Fireball,30.0,Tesla,97.0,Skeletons,94.0,X,106.0,,,,9,False,False,,,
01215,Fireball,30.0,The Log,98.0,Skeletons,94.0,X,106.0,Tesla,97.0,2.0,6,True,True,,Tesla,4.0
01230,Fireball,30.0,The Log,98.0,Skeletons,94.0,X,106.0,,,,6,False,False,,,
01245,Fireball,30.0,The Log,98.0,Skeletons,94.0,X,106.0,,,,6,False,False,,,
01260,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Spirit,54.0,X,106.0,4.0,0,True,True,,X,6.0
01275,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Spirit,54.0,,,,0,False,False,,,
01290,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Spirit,54.0,,,,0,False,False,,,
01305,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Spirit,54.0,,,,1,False,False,,,
01320,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Spirit,54.0,,,,1,False,False,,,
01335,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Spirit,54.0,,,,1,False,False,,,
01350,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Spirit,54.0,,,,1,False,False,,,
01365,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Spirit,54.0,,,,1,False,False,,,
01380,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Spirit,54.0,,,,2,False,False,,,
01395,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Spirit,54.0,,,,2,False,False,,,
01410,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Spirit,54.0,,,,2,False,False,,,
01425,Fireball,30.0,The Log,98.0,Skeletons,94.0,Ice Spirit,54.0,,,,2,False,False,,,
01440,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Ice Spirit,54.0,The Log,98.0,2.0,0,True,True,,The Log,2.0
01455,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Ice Spirit,54.0,,,,0,False,False,,,
01470,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Ice Spirit,54.0,,,,1,False,False,,,
01485,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Ice Spirit,54.0,,,,1,False,False,,,
01500,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,Ice Spirit,54.0,4.0,0,True,True,,Ice Spirit,1.0
01515,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,0,False,False,,,
01530,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,0,False,False,,,
01545,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,0,False,False,,,
01560,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,1,False,False,,,
01575,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,1,False,False,,,
01590,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,1,False,False,,,
01605,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,1,False,False,,,
01620,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,1,False,False,,,
01635,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,2,False,False,,,
01650,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,2,False,False,,,
01665,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,2,False,False,,,
01680,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,2,False,False,,,
01695,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,2,False,False,,,
01710,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,2,False,False,,,
01725,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,3,False,False,,,
01740,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,3,False,False,,,
01755,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,3,False,False,,,
01770,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,3,False,False,,,
01785,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,3,False,False,,,
01800,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,4,False,False,,,
01815,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,4,False,False,,,
01830,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,4,False,False,,,
01845,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,4,False,False,,,
01860,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,4,False,False,,,
01875,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,4,False,False,,,
01890,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,5,False,False,,,
01905,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,5,False,False,,,
01920,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,5,False,False,,,
01935,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,5,False,False,,,
01950,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,5,False,False,,,
01965,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,5,False,False,,,
01980,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,6,False,False,,,
01995,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,6,False,False,,,
02010,Fireball,30.0,Ice Golem,53.0,Skeletons,94.0,Archers,1.0,,,,6,False,False,,,
