frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,6,,,
00255,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,6,,,
00270,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,6,,,
00285,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,7,,,
00300,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,7,,,
00315,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,7,,,
00330,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,7,,,
00345,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,7,,,
00360,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,8,,,
00375,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,8,,,
00390,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,8,,,
00405,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,8,,,
00420,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,8,,,
00435,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,8,,,
00450,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,9,,,
00465,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,9,,,
00480,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,9,,,
00495,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,9,,,
00510,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,9,,,
00525,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,9,,,
00540,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00555,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00570,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00585,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00600,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00615,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00630,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00645,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00660,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00675,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00690,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00705,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00720,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00735,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00750,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00765,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00780,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00795,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00810,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00825,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00840,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00855,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00870,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00885,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00900,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00915,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00930,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00945,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00960,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00975,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
00990,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01005,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01020,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01035,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01050,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01065,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01080,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01095,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01110,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01125,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01140,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01155,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01170,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01185,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01200,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01215,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01230,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01245,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01260,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01275,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
01290,Tornado,101.0,Bomb Tower,12.0,Baby Dragon,3.0,Barbarian Barrel,6.0,,,,10,,,
