frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,6,,,
00255,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,6,,,
00270,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,7,,,
00285,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,8,,,
00300,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,8,,,
00315,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,7,,,
00330,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,7,,,
00345,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,7,,,
00360,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,8,,,
00375,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,8,,,
00390,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,8,,,
00405,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,8,,,
00420,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,8,,,
00435,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,8,,,
00450,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,9,,,
00465,Knight,58.0,X,106.0,The Log,98.0,Skeletons,94.0,,,,9,,,
00480,Knight,58.0,X,106.0,The Log,98.0,Fireball,30.0,,,,8,,,
00495,Knight,58.0,X,106.0,The Log,98.0,Fireball,30.0,,,,8,,,
00510,Knight,58.0,X,106.0,The Log,98.0,Fireball,30.0,,,,8,,,
00525,Knight,58.0,X,106.0,The Log,98.0,Fireball,30.0,,,,9,,,
00540,Knight,58.0,X,106.0,The Log,98.0,Fireball,30.0,,,,9,,,
00555,Knight,58.0,X,106.0,The Log,98.0,Fireball,30.0,,,,9,,,
00570,Knight,58.0,X,106.0,The Log,98.0,Fireball,30.0,,,,9,,,
00585,Knight,58.0,X,106.0,The Log,98.0,Fireball,30.0,,,,9,,,
00600,Knight,58.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,7,,,
00615,Knight,58.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,8,,,
00630,Knight,58.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,8,,,
00645,Knight,58.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,8,,,
00660,Knight,58.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,8,,,
00675,Knight,58.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,8,,,
00690,Knight,58.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,9,,,
00705,Knight,58.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,9,,,
00720,Knight,58.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,9,,,
00735,Knight,58.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,9,,,
00750,Knight,58.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,9,,,
00765,Knight,58.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,9,,,
00780,Musketeer,73.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,7,,,
00795,Musketeer,73.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,7,,,
00810,Musketeer,73.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,7,,,
00825,Musketeer,73.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,7,,,
00840,Musketeer,73.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,7,,,
00855,Musketeer,73.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,7,,,
00870,Musketeer,73.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,8,,,
00885,Musketeer,73.0,X,106.0,Mortar,71.0,Fireball,30.0,,,,8,,,
