frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00255,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,6.0,,,
00270,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,6.0,,,
00285,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,6.0,,,
00300,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,7.0,,,
00315,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,7.0,,,
00330,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,7.0,,,
00345,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,7.0,,,
00360,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,7.0,,,
00375,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
00390,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
00405,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
00420,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
00435,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
00450,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Golden Knight,46.0,,,,8.0,,,
00465,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Golden Knight,46.0,,,,9.0,,,
00480,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Golden Knight,46.0,,,,9.0,,,
00495,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Golden Knight,46.0,,,,9.0,,,
00510,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Golden Knight,46.0,,,,9.0,,,
00525,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Golden Knight,46.0,,,,9.0,,,
00540,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Golden Knight,46.0,,,,10.0,,,
00555,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Golden Knight,46.0,,,,10.0,,,
00570,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Golden Knight,46.0,,,,10.0,,,
00585,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Golden Knight,46.0,,,,10.0,,,
00600,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Golden Knight,46.0,,,,10.0,,,
00615,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,10.0,,,
00630,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,10.0,,,
00645,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,10.0,,,
00660,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,10.0,,,
00675,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,10.0,,,
00690,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,10.0,,,
00705,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,10.0,,,
00720,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Cannon Cart,16.0,,,,10.0,,,
00735,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Ram Rider,82.0,,,,10.0,,,
00750,Hunter,52.0,Electro Wizard,24.0,Fireball,30.0,Golden Knight,46.0,,,,10.0,,,
00765,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Golden Knight,46.0,,,,6.0,,,
00780,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Golden Knight,46.0,,,,6.0,,,
00795,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Golden Knight,46.0,,,,6.0,,,
00810,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Golden Knight,46.0,,,,6.0,,,
00825,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Golden Knight,46.0,,,,6.0,,,
00840,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Golden Knight,46.0,,,,7.0,,,
00855,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Golden Knight,46.0,,,,7.0,,,
00870,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Golden Knight,46.0,,,,7.0,,,
00885,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Golden Knight,46.0,,,,7.0,,,
00900,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Golden Knight,46.0,,,,7.0,,,
00915,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Golden Knight,46.0,,,,7.0,,,
00930,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Golden Knight,46.0,,,,8.0,,,
00945,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Golden Knight,46.0,,,,8.0,,,
00960,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Golden Knight,46.0,,,,8.0,,,
00975,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
00990,Hunter,52.0,Barbarian Barrel,6.0,Fireball,30.0,Cannon Cart,16.0,,,,8.0,,,
