frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,6,,,
00255,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,6,,,
00270,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,6,,,
00285,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,7,,,
00300,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,7,,,
00315,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,7,,,
00330,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,7,,,
00345,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,7,,,
00360,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,8,,,
00375,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,8,,,
00390,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,8,,,
00405,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,8,,,
00420,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,8,,,
00435,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,8,,,
00450,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,9,,,
00465,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,9,,,
00480,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,9,,,
00495,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,9,,,
00510,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Goblin Gang,42.0,,,,9,,,
00525,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,The Log,98.0,,,,7,,,
00540,Dart Goblin,19.0,The Log,98.0,Rascals,83.0,Rocket,84.0,,,,7,,,
