frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,6,,,
00255,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,6,,,
00270,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,6,,,
00285,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,7,,,
00300,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,7,,,
00315,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,7,,,
00330,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,7,,,
00345,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,7,,,
00360,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,7,,,
00375,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,8,,,
00390,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,8,,,
00405,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,8,,,
00420,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,8,,,
00435,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,8,,,
00450,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,9,,,
00465,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,9,,,
00480,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,9,,,
00495,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,9,,,
00510,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,9,,,
00525,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,9,,,
00540,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,10,,,
00555,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,10,,,
00570,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,10,,,
00585,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,10,,,
00600,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,10,,,
00615,X,106.0,Skeletons,94.0,Tesla,97.0,Firecracker,31.0,,,,10,,,
