frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,6,,,
00255,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,6,,,
00270,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,7,,,
00285,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,7,,,
00300,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,7,,,
00315,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,7,,,
00330,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,7,,,
00345,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,7,,,
00360,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,8,,,
00375,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,8,,,
00390,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,8,,,
00405,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,8,,,
00420,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,8,,,
00435,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,8,,,
00450,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,9,,,
00465,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,9,,,
00480,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,9,,,
00495,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,9,,,
00510,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,9,,,
00525,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,10,,,
00540,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,10,,,
00555,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,10,,,
00570,Giant Snowball,38.0,Musketeer,73.0,Bats,9.0,Arrows,2.0,,,,10,,,
00585,Giant Snowball,38.0,Musketeer,73.0,Valkyrie,102.0,Arrows,2.0,,,,8,,,
00600,Giant Snowball,38.0,Musketeer,73.0,Giant,36.0,Arrows,2.0,,,,8,,,
00615,Giant Snowball,38.0,Musketeer,73.0,Giant,36.0,Arrows,2.0,,,,8,,,
00630,Giant Snowball,38.0,Musketeer,73.0,Giant,36.0,Arrows,2.0,,,,8,,,
00645,Giant Snowball,38.0,Musketeer,73.0,Giant,36.0,Arrows,2.0,,,,8,,,
00660,Giant Snowball,38.0,Musketeer,73.0,Giant,36.0,Arrows,2.0,,,,8,,,
00675,Giant Snowball,38.0,Musketeer,73.0,Giant,36.0,Arrows,2.0,,,,9,,,
00690,Giant Snowball,38.0,Musketeer,73.0,Giant,36.0,Arrows,2.0,,,,9,,,
00705,Giant Snowball,38.0,Musketeer,73.0,Giant,36.0,Arrows,2.0,,,,9,,,
00720,Giant Snowball,38.0,Musketeer,73.0,Giant,36.0,Arrows,2.0,,,,9,,,
00735,Giant Snowball,38.0,Musketeer,73.0,Giant,36.0,Arrows,2.0,,,,9,,,
00750,Giant Snowball,38.0,Musketeer,73.0,Giant,36.0,Arrows,2.0,,,,10,,,
00765,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,6,,,
00780,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,6,,,
00795,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,6,,,
00810,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,6,,,
00825,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,6,,,
00840,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,7,,,
00855,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,7,,,
00870,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,7,,,
00885,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,7,,,
00900,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,7,,,
00915,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,7,,,
00930,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,8,,,
00945,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,8,,,
00960,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,8,,,
00975,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,8,,,
00990,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,8,,,
01005,Giant Snowball,38.0,Graveyard,48.0,Giant,36.0,Arrows,2.0,,,,9,,,
01020,Giant Snowball,38.0,,,Mini P.E.K.K.A,67.0,Arrows,2.0,,,,4,,,
01035,Giant Snowball,38.0,,,Mini P.E.K.K.A,67.0,Arrows,2.0,,,,4,,,
01050,Giant Snowball,38.0,,,Mini P.E.K.K.A,67.0,Arrows,2.0,,,,4,,,
01065,Giant Snowball,38.0,,,Mini P.E.K.K.A,67.0,Arrows,2.0,,,,4,,,
01080,Giant Snowball,38.0,,,Mini P.E.K.K.A,67.0,Arrows,2.0,,,,4,,,
