frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,6,,,
00240,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,6,,,
00255,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,6,,,
00270,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,6,,,
00285,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00300,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00315,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00330,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00345,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00360,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,7,,,
00375,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,8,,,
00390,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,8,,,
00405,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,8,,,
00420,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,8,,,
00435,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,8,,,
00450,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,9,,,
00465,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Spirit,54.0,,,,9,,,
00480,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00495,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00510,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00525,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00540,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Golem,53.0,,,,9,,,
00555,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Golem,53.0,,,,9,,,
00570,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Golem,53.0,,,,9,,,
00585,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Golem,53.0,,,,9,,,
00600,Tesla,97.0,Archers,1.0,Fireball,30.0,Ice Golem,53.0,,,,9,,,
00615,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
00630,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
00645,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,7,,,
00660,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,7,,,
00675,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,7,,,
00690,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,7,,,
00705,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00720,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00735,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00750,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00765,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00780,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00795,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,9,,,
00810,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,9,,,
00825,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,9,,,
00840,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,9,,,
00855,Tesla,97.0,The Log,98.0,Fireball,30.0,Ice Golem,53.0,,,,9,,,
00870,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00885,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00900,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00915,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00930,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00945,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,8,,,
00960,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,9,,,
00975,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,9,,,
00990,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,9,,,
01005,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,9,,,
01020,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,9,,,
01035,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
01050,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
01065,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
01080,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
01095,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
01110,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
01125,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
01140,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
01155,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
01170,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
01185,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
01200,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
01215,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
01230,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
01245,Tesla,97.0,Skeletons,94.0,Fireball,30.0,Ice Golem,53.0,,,,10,,,
01260,Tesla,97.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,10,,,
01275,Tesla,97.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,10,,,
01290,Tesla,97.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,8,,,
01305,Tesla,97.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,8,,,
01320,Tesla,97.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,8,,,
01335,Tesla,97.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,9,,,
01350,Tesla,97.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,9,,,
01365,Tesla,97.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,9,,,
01380,Tesla,97.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,9,,,
01395,Tesla,97.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,9,,,
01410,Tesla,97.0,Skeletons,94.0,Fireball,30.0,X,106.0,,,,9,,,
