frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,,,,,Baby Dragon,3.0,Witch,104.0,,,,6,,,
00255,,,,,Baby Dragon,3.0,Witch,104.0,,,,6,,,
00270,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,6,,,
00285,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,7,,,
00300,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,7,,,
00315,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,7,,,
00330,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,7,,,
00345,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,7,,,
00360,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,7,,,
00375,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,8,,,
00390,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,8,,,
00405,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,8,,,
00420,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,8,,,
00435,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,8,,,
00450,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,9,,,
00465,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,9,,,
00480,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,9,,,
00495,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,9,,,
00510,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,9,,,
00525,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,9,,,
00540,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,10,,,
00555,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,10,,,
00570,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,10,,,
00585,Golem,47.0,Barbarian Hut,7.0,Baby Dragon,3.0,Witch,104.0,,,,10,,,
00600,Golem,47.0,Tornado,101.0,Goblin Gang,42.0,Mini P.E.K.K.A,67.0,,,,3,,,
00615,Golem,47.0,Tornado,101.0,Goblin Gang,42.0,Mini P.E.K.K.A,67.0,,,,3,,,
00630,Golem,47.0,Tornado,101.0,Baby Dragon,3.0,Mini P.E.K.K.A,67.0,,,,3,,,
00645,Golem,47.0,Tornado,101.0,Baby Dragon,3.0,Witch,104.0,,,,3,,,
