frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00255,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,6,False,False,,,
00270,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,6,False,False,,,
00285,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,7,False,False,,,
00300,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,7,False,False,,,
00315,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,7,False,False,,,
00330,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,7,False,False,,,
00345,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,7,False,False,,,
00360,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,7,False,False,,,
00375,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,8,False,False,,,
00390,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,8,False,False,,,
00405,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,8,False,False,,,
00420,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,8,False,False,,,
00435,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,8,False,False,,,
00450,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,9,False,False,,,
00465,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,9,False,False,,,
00480,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,9,False,False,,,
00495,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,9,False,False,,,
00510,Electro Wizard,24.0,Mega Minion,64.0,Zap,107.0,Giant,36.0,,,,9,False,False,,,
00525,Electro Wizard,24.0,Prince,79.0,Zap,107.0,Giant,36.0,Mega Minion,64.0,2.0,6,True,True,,Mega Minion,3.0
00540,Electro Wizard,24.0,Prince,79.0,Zap,107.0,Giant,36.0,,,,7,False,False,,,
00555,Electro Wizard,24.0,Prince,79.0,Zap,107.0,Giant,36.0,,,,7,False,False,,,
00570,Electro Wizard,24.0,Prince,79.0,Zap,107.0,Giant,36.0,,,,7,False,False,,,
00585,Electro Wizard,24.0,Prince,79.0,Zap,107.0,Giant,36.0,,,,7,False,False,,,
00600,Electro Wizard,24.0,Prince,79.0,Zap,107.0,Giant,36.0,,,,7,False,False,,,
00615,Electro Wizard,24.0,Prince,79.0,Zap,107.0,Giant,36.0,,,,7,False,False,,,
00630,Electro Wizard,24.0,Prince,79.0,Zap,107.0,Giant,36.0,,,,8,False,False,,,
