frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00240,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,6,,,
00255,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,6,,,
00270,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,6,,,
00285,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,7,,,
00300,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,7,,,
00315,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,7,,,
00330,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,7,,,
00345,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,7,,,
00360,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,7,,,
00375,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,8,,,
00390,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,8,,,
00405,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,8,,,
00420,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,8,,,
00435,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,8,,,
00450,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,9,,,
00465,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,9,,,
00480,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,9,,,
00495,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,9,,,
00510,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,9,,,
00525,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,9,,,
00540,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,10,,,
00555,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,10,,,
00570,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,10,,,
00585,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,10,,,
00600,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,10,,,
00615,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,10,,,
00630,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,10,,,
00645,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,10,,,
00660,Magic Archer,62.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,10,,,
00675,Bandit,5.0,P.E.K.K.A,76.0,Battle Ram,11.0,Poison,78.0,,,,6,,,
