frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed
00225,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,6.0,,,
00240,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,6.0,,,
00255,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,6.0,,,
00270,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,6.0,,,
00285,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,7.0,,,
00300,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,7.0,,,
00315,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,7.0,,,
00330,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,7.0,,,
00345,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,7.0,,,
00360,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,8.0,,,
00375,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,8.0,,,
00390,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,8.0,,,
00405,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,8.0,,,
00420,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,8.0,,,
00435,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,8.0,,,
00450,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,9.0,,,
00465,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,9.0,,,
00480,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,9.0,,,
00495,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,9.0,,,
00510,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,9.0,,,
00525,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,10.0,,,
00540,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,10.0,,,
00555,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,10.0,,,
00570,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,10.0,,,
00585,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,10.0,,,
00600,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,0.0,,,
00615,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,10.0,,,
00630,Electro Dragon,21.0,Heal Spirit,50.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,10.0,,,
00645,Electro Dragon,21.0,Golem,47.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,9.0,,,
00660,Electro Dragon,21.0,Golem,47.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,9.0,,,
00675,Electro Dragon,21.0,Golem,47.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,9.0,,,
00690,Electro Dragon,21.0,Golem,47.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,9.0,,,
00705,Electro Dragon,21.0,Golem,47.0,Lumberjack,61.0,Skeleton Dragons,92.0,,,,9.0,,,
00720,Electro Dragon,21.0,Skeletons,94.0,Earthquake,20.0,Skeleton Dragons,92.0,,,,6.0,,,
00735,Electro Dragon,21.0,Skeletons,94.0,Dark Prince,18.0,Skeleton Dragons,92.0,,,,6.0,,,
00750,Electro Dragon,21.0,Skeletons,94.0,Dark Prince,18.0,Skeleton Dragons,92.0,,,,6.0,,,
00765,Electro Dragon,21.0,Skeletons,94.0,Dark Prince,18.0,Skeleton Dragons,92.0,,,,6.0,,,
00780,Electro Dragon,21.0,Skeletons,94.0,Dark Prince,18.0,Skeleton Dragons,92.0,,,,6.0,,,
