frame,card1Name,card1Label,card2Name,card2Label,card3Name,card3Label,card4Name,card4Label,cardPlayedName,cardPlayedLabel,slotPlayed,elixir,predicted_cardPlayed,y_cardPlayed,y_elixirConsumed,0,predicted_elixirConsumed
00225,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,6,False,False,,,
00240,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,6,False,False,,,
00255,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,6,False,False,,,
00270,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,7,False,False,,,
00285,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,7,False,False,,,
00300,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,7,False,False,,,
00315,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,7,False,False,,,
00330,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,7,False,False,,,
00345,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,7,False,False,,,
00360,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,8,False,False,,,
00375,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,8,False,False,,,
00390,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,8,False,False,,,
00405,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,8,False,False,,,
00420,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,8,False,False,,,
00435,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,8,False,False,,,
00450,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,9,False,False,,,
00465,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,9,False,False,,,
00480,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,9,False,False,,,
00495,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,9,False,False,,,
00510,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,9,False,False,,,
00525,Tesla,97.0,Archers,1.0,The Log,98.0,Fireball,30.0,,,,10,False,False,,,
00540,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,Archers,1.0,2.0,7,True,True,,Archers,3.0
00555,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,7,False,False,,,
00570,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,7,False,False,,,
00585,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,7,False,False,,,
00600,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,7,False,False,,,
00615,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,8,False,False,,,
00630,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,8,False,False,,,
00645,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,8,False,False,,,
00660,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,8,False,False,,,
00675,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,8,False,False,,,
00690,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,8,False,False,,,
00705,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,9,False,False,,,
00720,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,9,False,False,,,
00735,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,9,False,False,,,
00750,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,9,False,False,,,
00765,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,9,False,False,,,
00780,Tesla,97.0,Knight,58.0,The Log,98.0,Fireball,30.0,,,,9,False,False,,,
00795,Tesla,97.0,Knight,58.0,The Log,98.0,Skeletons,94.0,Fireball,30.0,4.0,6,True,True,,Fireball,4.0
00810,Tesla,97.0,Knight,58.0,The Log,98.0,Skeletons,94.0,,,,6,False,False,,,
00825,Tesla,97.0,Knight,58.0,The Log,98.0,Skeletons,94.0,,,,6,False,False,,,
00840,Tesla,97.0,Knight,58.0,The Log,98.0,Skeletons,94.0,,,,6,False,False,,,
00855,Tesla,97.0,Knight,58.0,The Log,98.0,Skeletons,94.0,,,,6,False,False,,,
00870,Tesla,97.0,Knight,58.0,The Log,98.0,Skeletons,94.0,,,,6,False,False,,,
00885,Tesla,97.0,Knight,58.0,The Log,98.0,Skeletons,94.0,,,,7,False,False,,,
00900,Tesla,97.0,Knight,58.0,The Log,98.0,Skeletons,94.0,,,,7,False,False,,,
00915,Tesla,97.0,Knight,58.0,The Log,98.0,Skeletons,94.0,,,,7,False,False,,,
00930,Tesla,97.0,Knight,58.0,The Log,98.0,Skeletons,94.0,,,,7,False,False,,,
00945,Tesla,97.0,Knight,58.0,The Log,98.0,Skeletons,94.0,,,,7,False,False,,,
